step,M,N,K,median_ms,min_ms,max_ms,tflops,cublas_ms,speedup_vs_cublas,reference_ms,limit_ms,status,seed,warmup,repeat,trials,gpu,sm_count,tvm,torch,cuda,samples_ms,cublas_samples_ms,git_revision,git_dirty,gemm_kernels_sha256,utils_sha256,benchmark_sha256,benchmark_diagnostics_sha256,compiler,ptxas_reg_level,TVM_CUDA_PTXAS_EXTRA_OPTS,TVM_CUDA_NVRTC_EXTRA_OPTS,TVM_CUDA_NVCC_NO_FAST_MATH,TVM_KERNEL_DEBUG,TVM_KERNEL_DUMP,CUDA_LAUNCH_BLOCKING,CUDA_VISIBLE_DEVICES,target
1,128,128,64,0.005443199972311656,0.005443199972311656,0.005443199972311656,0.3852792494612993,0.006308266520500183,1.1589261009312404,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.005443199972311656],[0.006308266520500183],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,64,0.005320533116658529,0.005320533116658529,0.005320533116658529,0.39416200482501296,0.006281599899133046,1.180633549571457,0.105,0.1365,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.005320533116658529],[0.006281599899133046],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,512,0.01046399970849355,0.01046399970849355,0.01046399970849355,1.6033272617909249,0.005793066819508871,0.5536187864002597,0.839,1.0907,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.01046399970849355],[0.005793066819508871],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,1024,0.016590933005015056,0.016590933005015056,0.016590933005015056,2.0224559999041207,0.0061941335598627726,0.37334449834680355,1.678,2.1814,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.016590933005015056],[0.0061941335598627726],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
2,128,128,4096,0.051386666297912595,0.051386666297912595,0.051386666297912595,2.611917403278837,0.008107733229796093,0.15777893009816518,6.711,8.724300000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.051386666297912595],[0.008107733229796093],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,256,256,256,0.008373333017031352,0.008373333017031352,0.008373333017031352,4.007296966661939,0.00585813323656718,0.699617849266444,0.373,0.4849,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.008373333017031352],[0.00585813323656718],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,512,512,512,0.010451199611028035,0.010451199611028035,0.010451199611028035,25.68465496695219,0.006694399813810984,0.6405388915112767,0.746,0.9698,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.010451199611028035],[0.006694399813810984],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,1024,1024,1024,0.01655893325805664,0.01655893325805664,0.01655893325805664,129.68731829118013,0.006128000219662985,0.37007216130190307,1.502,1.9526000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.01655893325805664],[0.006128000219662985],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
3,2048,2048,2048,0.0534602681795756,0.0534602681795756,0.0534602681795756,321.3577067419863,0.012632532914479574,0.23629759716218202,6.007,7.8091,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.0534602681795756],[0.012632532914479574],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,256,256,256,0.006344533463319143,0.006344533463319143,0.006344533463319143,5.288715426279113,0.005880533158779145,0.9268661270016761,0.014,0.0182,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.006344533463319143],[0.005880533158779145],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,512,512,512,0.008397866288820903,0.008397866288820903,0.008397866288820903,31.96472136706162,0.005963733295599619,0.710148636629097,0.015,0.0195,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.008397866288820903],[0.005963733295599619],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,1024,1024,1024,0.012512000401814778,0.012512000401814778,0.012512000401814778,171.63391776174515,0.005757866799831391,0.46018754914651794,0.017,0.0221,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.012512000401814778],[0.005757866799831391],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
4,2048,2048,2048,0.020750933885574342,0.020750933885574342,0.020750933885574342,827.9082415631964,0.012683733304341634,0.6112367459837134,0.052,0.0676,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.020750933885574342],[0.012683733304341634],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
5,512,512,512,0.007457066575686137,0.007457066575686137,0.007457066575686137,35.99746003009244,0.005970133344332377,0.8006007836644606,0.013,0.0169,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.007457066575686137],[0.005970133344332377],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
5,1024,1024,1024,0.010461866855621338,0.010461866855621338,0.010461866855621338,205.26772875589796,0.005721599857012431,0.5469004658511897,0.012,0.015600000000000001,PASS,0,10,30,1,NVIDIA B300 SXM6 AC,148,0.26.0,2.14.0+cu130,13.0,[0.010461866855621338],[0.005721599857012431],f165b5ec0492f9ad996e1ad5afc18250fa9c7082,True,5515a04dfc3018bff2fe06e7f1f00681db4ee4ce8b376f4098f2348d85989b6c,af9cc13549f0726e295a5ae65c91f580c7728d2c795e53e0ffe3547023f38d30,37d91ddbec1e74682eec22f7c64abc2b606095d04ec947aa031d889b253ef009,5db36328f88d5a5758659814bdec098cf0e5ac20823ac5b713b0ef41d0e06f74,nvrtc,10,,,,,,,0,"{""kind"":""cuda"",""tag"":"""",""keys"":[""cuda"",""gpu""],""max_num_threads"":1024,""thread_warp_size"":32,""arch"":""sm_103a""}"
